,Household Size,,,,,,,,,,,,,,,
,Moderate Income,"$72,950 - $147,150","$83,400 - $168,150","$93,800 - $189,150","$104,200 - $210,150","$112,550 - $227,000","$120,900 - $243,800","$129,250 - $260,600","$137,550 - $277,400",,,,,,,
Dolores,Low Income,"$57,550","$65,750","$73,950","$82,150","$88,750","$95,300","$101,900","$108,450",,,,,,,
,Moderate Income,"$57,550 - $107,850","$65,750 - $123,250","$73,950 - $138,650","$82,150 - $154,050","$88,750 - $166,400","$95,300 - $178,700","$101,900 - $191,050","$108,450 - $203,350",,,,,,,
Douglas,Low Income,"$72,950","$83,400","$93,800","$104,200","$112,550","$120,900","$129,250","$137,550",,,,,,,
,Moderate Income,"$72,950 - $147,150","$83,400 - $168,150","$93,800 - $189,150","$104,200 - $210,150","$112,550 - $227,000","$120,900 - $243,800","$129,250 - $260,600","$137,550 - $277,400",,,,,,,
Eagle,Low Income,"$72,950","$83,400","$93,800","$104,200","$112,550","$120,900","$129,250","$137,550",,,,,,,
,Moderate Income,"$72,950 - $139,900","$83,400 - $159,850","$93,800 - $179,850","$104,200 - $199,800","$112,550 - $215,800","$120,900 - $231,800","$129,250 - $247,800","$137,550 - $263,750",,,,,,,
Elbert,Low Income,"$72,950","$83,400","$93,800","$104,200","$112,550","$120,900","$129,250","$137,550",,,,,,,
,Moderate Income,"$72,950 - $147,150","$83,400 - $168,150","$93,800 - $189,150","$104,200 - $210,150","$112,550 - $227,000","$120,900 - $243,800","$129,250 - $260,600","$137,550 - $277,400",,,,,,,
El Paso,Low Income,"$63,000","$72,000","$81,000","$90,000","$97,200","$104,400","$111,600","$118,800",,,,,,,
,Moderate Income,"$63,000 - $118,150","$72,000 - $135,000","$81,000 - $151,900","$90,000 - $168,750","$97,200 - $182,250","$104,400 - $195,750","$111,600 - $209,250","$118,800 - $222,750",,,,,,,
Fremont,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Garfield,Low Income,"$59,150","$67,600","$76,050","$84,500","$91,300","$98,050","$104,800","$111,550",,,,,,,
,Moderate Income,"$59,150 - $110,900","$67,600 - $126,750","$76,050 - $142,600","$84,500 - $158,400","$91,300 - $171,100","$98,050 - $183,750","$104,800 - $196,450","$111,550 - $209,100",,,,,,,
Gilpin,Low Income,"$72,950","$83,400","$93,800","$104,200","$112,550","$120,900","$129,250","$137,550",,,,,,,
,Moderate Income,"$72,950 - $147,150","$83,400 - $168,150","$93,800 - $189,150","$104,200 - $210,150","$112,550 - $227,000","$120,900 - $243,800","$129,250 - $260,600","$137,550 - $277,400",,,,,,,
Grand,Low Income,"$62,750","$71,700","$80,650","$89,600","$96,800","$103,950","$111,150","$118,300",,,,,,,
,Moderate Income,"$62,750 - $117,600","$71,700 - $134,400","$80,650 - $151,200","$89,600 - $168,000","$96,800 - $181,450","$103,950 - $194,900","$111,150 - $208,350","$118,300 - $221,800",,,,,,,
Gunnison,Low Income,"$63,000","$72,000","$81,000","$90,000","$97,200","$104,400","$111,600","$118,800",,,,,,,
,Moderate Income,"$63,000 - $118,150","$72,000 - $135,000","$81,000 - $151,900","$90,000 - $168,750","$97,200 - $182,250","$104,400 - $195,750","$111,600 - $209,250","$118,800 - $222,750",,,,,,,
Hinsdale,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Huerfano,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Jackson,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Jefferson,Low Income,"$72,950","$83,400","$93,800","$104,200","$112,550","$120,900","$129,250","$137,550",,,,,,,
,Moderate Income,"$72,950 - $147,150","$83,400 - $168,150","$93,800 - $189,150","$104,200 - $210,150","$112,550 - $227,000","$120,900 - $243,800","$129,250 - $260,600","$137,550 - $277,400",,,,,,,
Kiowa,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
